entity_id,source_account_id,duplicate_confidence,hierarchy_parent_id,hierarchy_child_id,validity_score,review_flag,unified_profile_id,identity_confidence,hierarchy_payload,intent_signal_payload,group_revenue_rollup,cross_sell_propensity,health_score,coverage_gap_flag,competitor_risk_signal,primary_brand_name,active_product_count,engagement_intensity_score,open_opportunity_count,last_engagement_timestamp,last_synced_timestamp,external_legal_name,external_registration_number,is_externally_validated,validity_score_external,external_subsidiaries_found,ai_narrative,ai_recommended_actions,ai_narrative_generated_at,enrichment_run_id,regulatory_readiness_score,duplicate_exposure_count,group_known_subsidiary_count,crm_covered_subsidiary_count,group_revenue_visible,external_revenue_confirmed,model_id,prompt_version,source_refs,citation_count,run_id,run_timestamp,model_version
acc_001dm00003xskbrqa1,001dM00003XSkBRQA1,93.0,,acc_001dm00003xskbrqa1,90.0,false,ucp_001dM00003XSkBRQA1,93.0,"{""group_id"":""acc_001dm00003xskbrqa1"",""canonical_account_id"":""acc_001dm00003xskbrqa1"",""account_name"":""Edge Communications"",""children"":[{""entity_id"":""acc_001dm00003xskbrqa1"",""crm_record_id"":""001dM00003XSkBRQA1"",""name"":""Edge Communications"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":54.550000000000004,""signal_label"":""Queue for review"",""threshold_label"":""Engagement is strong enough to justify proactive routed follow-up."",""route_to"":""account_owner"",""routing_confidence"":0.9283333333333335,""why_now"":""Edge Communications has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged Edge Communications because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement context suggests the account can absorb routed follow-up now."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-20 05:02:41.712612""}",1.39E8,55.0,74.0,false,58.0,Unassigned Brand,0,61.0,1,2026-03-27T07:26:11.000Z,2026-04-20T05:02:41.712Z,Edge Communications,,false,88.0,0,Model-generated public-evidence summary is not configured for Edge Communications.,[],2026-04-20T05:02:41.712Z,run_default_20260420_050241,70.0,0,1,1,1.39E8,1.39E8,gpt-5.4,pulse360-default-v1,[],0,run_20260420_050241,2026-04-20T05:02:41.712Z,dc-canonical-v2.crm-keyed
acc_001dm00003xskbsqa1,001dM00003XSkBSQA1,93.0,,acc_001dm00003xskbsqa1,90.0,false,ucp_001dM00003XSkBSQA1,93.0,"{""group_id"":""acc_001dm00003xskbsqa1"",""canonical_account_id"":""acc_001dm00003xskbsqa1"",""account_name"":""Burlington Textiles Corp of America"",""children"":[{""entity_id"":""acc_001dm00003xskbsqa1"",""crm_record_id"":""001dM00003XSkBSQA1"",""name"":""Burlington Textiles Corp of America"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":51.550000000000004,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner_plus_coverage"",""routing_confidence"":0.855,""why_now"":""Burlington Textiles Corp of America combines whitespace potential with a group coverage gap, so the routed follow-up should confirm who actually owns the next motion."",""drafted_outreach"":""Pulse360 flagged Burlington Textiles Corp of America because coverage is incomplete across the commercial group and the next owner needs to be confirmed. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is incomplete across the group, so route clarity needs review.""],""generated_at"":""2026-04-20 05:02:41.712612""}",3.5E8,43.0,61.0,true,58.0,Unassigned Brand,0,33.0,0,2026-03-27T07:26:11.000Z,2026-04-20T05:02:41.712Z,Burlington Textiles Corp of America,,false,88.0,0,Model-generated public-evidence summary is not configured for Burlington Textiles Corp of America.,[],2026-04-20T05:02:41.712Z,run_default_20260420_050241,70.0,0,1,1,3.5E8,3.5E8,gpt-5.4,pulse360-default-v1,[],0,run_20260420_050241,2026-04-20T05:02:41.712Z,dc-canonical-v2.crm-keyed
acc_001dm00003xskbtqa1,001dM00003XSkBTQA1,93.0,,acc_001dm00003xskbtqa1,90.0,false,ucp_001dM00003XSkBTQA1,93.0,"{""group_id"":""acc_001dm00003xskbtqa1"",""canonical_account_id"":""acc_001dm00003xskbtqa1"",""account_name"":""Pyramid Construction Inc."",""children"":[{""entity_id"":""acc_001dm00003xskbtqa1"",""crm_record_id"":""001dM00003XSkBTQA1"",""name"":""Pyramid Construction Inc."",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":40.650000000000006,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner"",""routing_confidence"":0.785,""why_now"":""Pyramid Construction Inc. has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged Pyramid Construction Inc. because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-20 05:02:41.712612""}",9.5E8,45.0,54.0,false,58.0,Unassigned Brand,0,33.0,1,2026-03-27T07:26:11.000Z,2026-04-20T05:02:41.712Z,Pyramid Construction Inc.,,false,88.0,0,Model-generated public-evidence summary is not configured for Pyramid Construction Inc..,[],2026-04-20T05:02:41.712Z,run_default_20260420_050241,70.0,0,1,1,9.5E8,9.5E8,gpt-5.4,pulse360-default-v1,[],0,run_20260420_050241,2026-04-20T05:02:41.712Z,dc-canonical-v2.crm-keyed
acc_001dm00003xskbuqa1,001dM00003XSkBUQA1,93.0,,acc_001dm00003xskbuqa1,90.0,false,ucp_001dM00003XSkBUQA1,93.0,"{""group_id"":""acc_001dm00003xskbuqa1"",""canonical_account_id"":""acc_001dm00003xskbuqa1"",""account_name"":""Dickenson plc"",""children"":[{""entity_id"":""acc_001dm00003xskbuqa1"",""crm_record_id"":""001dM00003XSkBUQA1"",""name"":""Dickenson plc"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":40.650000000000006,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner"",""routing_confidence"":0.785,""why_now"":""Dickenson plc has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged Dickenson plc because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-20 05:02:41.712612""}",5.0E7,45.0,54.0,false,58.0,Unassigned Brand,0,33.0,1,2026-03-27T07:26:11.000Z,2026-04-20T05:02:41.712Z,Dickenson plc,,false,88.0,0,Model-generated public-evidence summary is not configured for Dickenson plc.,[],2026-04-20T05:02:41.712Z,run_default_20260420_050241,70.0,0,1,1,5.0E7,5.0E7,gpt-5.4,pulse360-default-v1,[],0,run_20260420_050241,2026-04-20T05:02:41.712Z,dc-canonical-v2.crm-keyed
acc_001dm00003xskbvqa1,001dM00003XSkBVQA1,93.0,,acc_001dm00003xskbvqa1,90.0,false,ucp_001dM00003XSkBVQA1,93.0,"{""group_id"":""acc_001dm00003xskbvqa1"",""canonical_account_id"":""acc_001dm00003xskbvqa1"",""account_name"":""Grand Hotels & Resorts Ltd"",""children"":[{""entity_id"":""acc_001dm00003xskbvqa1"",""crm_record_id"":""001dM00003XSkBVQA1"",""name"":""Grand Hotels & Resorts Ltd"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":61.150000000000006,""signal_label"":""Queue for review"",""threshold_label"":""Engagement is strong enough to justify proactive routed follow-up."",""route_to"":""account_owner"",""routing_confidence"":0.95,""why_now"":""Grand Hotels & Resorts Ltd has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged Grand Hotels & Resorts Ltd because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement context suggests the account can absorb routed follow-up now."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-20 05:02:41.712612""}",5.0E8,67.0,82.0,false,58.0,Unassigned Brand,0,61.0,2,2026-03-27T07:26:11.000Z,2026-04-20T05:02:41.712Z,Grand Hotels & Resorts Ltd,,false,88.0,0,Model-generated public-evidence summary is not configured for Grand Hotels & Resorts Ltd.,[],2026-04-20T05:02:41.712Z,run_default_20260420_050241,70.0,0,1,1,5.0E8,5.0E8,gpt-5.4,pulse360-default-v1,[],0,run_20260420_050241,2026-04-20T05:02:41.712Z,dc-canonical-v2.crm-keyed
acc_001dm00003xskbwqa1,001dM00003XSkBWQA1,93.0,,acc_001dm00003xskbwqa1,90.0,false,ucp_001dM00003XSkBWQA1,93.0,"{""group_id"":""acc_001dm00003xskbwqa1"",""canonical_account_id"":""acc_001dm00003xskbwqa1"",""account_name"":""United Oil & Gas Corp."",""children"":[{""entity_id"":""acc_001dm00003xskbwqa1"",""crm_record_id"":""001dM00003XSkBWQA1"",""name"":""United Oil & Gas Corp."",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":72.55,""signal_label"":""Queue for review"",""threshold_label"":""Engagement is strong enough to justify proactive routed follow-up."",""route_to"":""account_owner"",""routing_confidence"":0.95,""why_now"":""United Oil & Gas Corp. has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged United Oil & Gas Corp. because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement context suggests the account can absorb routed follow-up now."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-20 05:02:41.712612""}",5.6E9,79.0,100.0,false,58.0,Unassigned Brand,0,77.0,4,2026-03-27T07:26:11.000Z,2026-04-20T05:02:41.712Z,United Oil & Gas Corp.,,false,88.0,0,Model-generated public-evidence summary is not configured for United Oil & Gas Corp..,[],2026-04-20T05:02:41.712Z,run_default_20260420_050241,70.0,0,1,1,5.6E9,5.6E9,gpt-5.4,pulse360-default-v1,[],0,run_20260420_050241,2026-04-20T05:02:41.712Z,dc-canonical-v2.crm-keyed
acc_001dm00003xskbxqa1,001dM00003XSkBXQA1,93.0,,acc_001dm00003xskbxqa1,90.0,false,ucp_001dM00003XSkBXQA1,93.0,"{""group_id"":""acc_001dm00003xskbxqa1"",""canonical_account_id"":""acc_001dm00003xskbxqa1"",""account_name"":""Express Logistics and Transport"",""children"":[{""entity_id"":""acc_001dm00003xskbxqa1"",""crm_record_id"":""001dM00003XSkBXQA1"",""name"":""Express Logistics and Transport"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":61.150000000000006,""signal_label"":""Queue for review"",""threshold_label"":""Engagement is strong enough to justify proactive routed follow-up."",""route_to"":""account_owner"",""routing_confidence"":0.95,""why_now"":""Express Logistics and Transport has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged Express Logistics and Transport because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement context suggests the account can absorb routed follow-up now."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-20 05:02:41.712612""}",9.5E8,67.0,72.0,false,58.0,Unassigned Brand,0,61.0,2,2026-03-27T07:26:11.000Z,2026-04-20T05:02:41.712Z,Express Logistics and Transport,,false,88.0,0,Model-generated public-evidence summary is not configured for Express Logistics and Transport.,[],2026-04-20T05:02:41.712Z,run_default_20260420_050241,70.0,0,1,1,9.5E8,9.5E8,gpt-5.4,pulse360-default-v1,[],0,run_20260420_050241,2026-04-20T05:02:41.712Z,dc-canonical-v2.crm-keyed
acc_001dm00003xskbyqa1,001dM00003XSkBYQA1,93.0,,acc_001dm00003xskbyqa1,90.0,false,ucp_001dM00003XSkBYQA1,93.0,"{""group_id"":""acc_001dm00003xskbyqa1"",""canonical_account_id"":""acc_001dm00003xskbyqa1"",""account_name"":""University of Arizona"",""children"":[{""entity_id"":""acc_001dm00003xskbyqa1"",""crm_record_id"":""001dM00003XSkBYQA1"",""name"":""University of Arizona"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":52.150000000000006,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner"",""routing_confidence"":0.9016666666666667,""why_now"":""University of Arizona has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged University of Arizona because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-20 05:02:41.712612""}",0.0,55.0,63.0,false,58.0,Unassigned Brand,0,53.0,1,2026-03-27T07:26:11.000Z,2026-04-20T05:02:41.712Z,University of Arizona,,false,88.0,0,Model-generated public-evidence summary is not configured for University of Arizona.,[],2026-04-20T05:02:41.712Z,run_default_20260420_050241,60.0,0,1,1,0.0,0.0,gpt-5.4,pulse360-default-v1,[],0,run_20260420_050241,2026-04-20T05:02:41.712Z,dc-canonical-v2.crm-keyed
acc_001dm00003xskbzqa1,001dM00003XSkBZQA1,93.0,,acc_001dm00003xskbzqa1,90.0,false,ucp_001dM00003XSkBZQA1,93.0,"{""group_id"":""acc_001dm00003xskbzqa1"",""canonical_account_id"":""acc_001dm00003xskbzqa1"",""account_name"":""United Oil & Gas, UK"",""children"":[{""entity_id"":""acc_001dm00003xskbzqa1"",""crm_record_id"":""001dM00003XSkBZQA1"",""name"":""United Oil & Gas, UK"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":32.650000000000006,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner_plus_coverage"",""routing_confidence"":0.7316666666666666,""why_now"":""United Oil & Gas, UK combines whitespace potential with a group coverage gap, so the routed follow-up should confirm who actually owns the next motion."",""drafted_outreach"":""Pulse360 flagged United Oil & Gas, UK because coverage is incomplete across the commercial group and the next owner needs to be confirmed. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is incomplete across the group, so route clarity needs review.""],""generated_at"":""2026-04-20 05:02:41.712612""}",0.0,25.0,40.0,true,18.0,Unassigned Brand,0,23.0,0,2026-03-27T07:26:11.000Z,2026-04-20T05:02:41.712Z,"United Oil & Gas, UK",,false,88.0,0,"Model-generated public-evidence summary is not configured for United Oil & Gas, UK.",[],2026-04-20T05:02:41.712Z,run_default_20260420_050241,60.0,0,1,1,0.0,0.0,gpt-5.4,pulse360-default-v1,[],0,run_20260420_050241,2026-04-20T05:02:41.712Z,dc-canonical-v2.crm-keyed
acc_001dm00003xskbaqal,001dM00003XSkBaQAL,93.0,,acc_001dm00003xskbaqal,90.0,false,ucp_001dM00003XSkBaQAL,93.0,"{""group_id"":""acc_001dm00003xskbaqal"",""canonical_account_id"":""acc_001dm00003xskbaqal"",""account_name"":""United Oil & Gas, Singapore"",""children"":[{""entity_id"":""acc_001dm00003xskbaqal"",""crm_record_id"":""001dM00003XSkBaQAL"",""name"":""United Oil & Gas, Singapore"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":35.05,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner_plus_coverage"",""routing_confidence"":0.7583333333333332,""why_now"":""United Oil & Gas, Singapore combines whitespace potential with a group coverage gap, so the routed follow-up should confirm who actually owns the next motion."",""drafted_outreach"":""Pulse360 flagged United Oil & Gas, Singapore because coverage is incomplete across the commercial group and the next owner needs to be confirmed. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is incomplete across the group, so route clarity needs review.""],""generated_at"":""2026-04-20 05:02:41.712612""}",0.0,25.0,45.0,true,18.0,Unassigned Brand,0,31.0,0,2026-03-27T07:26:11.000Z,2026-04-20T05:02:41.712Z,"United Oil & Gas, Singapore",,false,88.0,0,"Model-generated public-evidence summary is not configured for United Oil & Gas, Singapore.",[],2026-04-20T05:02:41.712Z,run_default_20260420_050241,60.0,0,1,1,0.0,0.0,gpt-5.4,pulse360-default-v1,[],0,run_20260420_050241,2026-04-20T05:02:41.712Z,dc-canonical-v2.crm-keyed
