source_field,target_object,target_field,required
unified_profile_id,Account,Unified_Profile_Id__c,true
identity_confidence,Account,Identity_Confidence__c,true
hierarchy_payload,Account,Hierarchy_Payload__c,false
intent_signal_payload,Account,Intent_Signal_Payload__c,false
group_revenue_rollup,Account,Group_Revenue_Rollup__c,true
health_score,Account,Health_Score__c,true
cross_sell_propensity,Account,Cross_Sell_Propensity__c,true
coverage_gap_flag,Account,Coverage_Gap_Flag__c,true
competitor_risk_signal,Account,Competitor_Risk_Signal__c,true
primary_brand_name,Account,Primary_Brand_Name__c,true
active_product_count,Account,Active_Product_Count__c,true
engagement_intensity_score,Account,Engagement_Intensity_Score__c,true
open_opportunity_count,Account,Open_Opportunity_Count__c,true
last_engagement_timestamp,Account,Last_Engagement_Timestamp__c,true
last_synced_timestamp,Account,DataCloud_Last_Synced__c,true
external_legal_name,Account,External_Legal_Name__c,true
external_registration_number,Account,External_Registration_Number__c,false
is_externally_validated,Account,Externally_Validated__c,true
validity_score_external,Account,Validity_Score_External__c,true
external_subsidiaries_found,Account,External_Subsidiaries_Found__c,true
ai_narrative,Account,AI_Narrative__c,true
ai_recommended_actions,Account,AI_Recommended_Actions__c,true
ai_narrative_generated_at,Account,AI_Narrative_Generated__c,true
enrichment_run_id,Account,Enrichment_Run_Id__c,true
regulatory_readiness_score,Account,Regulatory_Readiness_Score__c,true
duplicate_exposure_count,Account,Duplicate_Exposure_Count__c,true
group_known_subsidiary_count,Account,Group_Known_Subsidiary_Count__c,true
crm_covered_subsidiary_count,Account,CRM_Covered_Subsidiary_Count__c,true
group_revenue_visible,Account,Group_Revenue_Visible__c,true
external_revenue_confirmed,Account,External_Revenue_Confirmed__c,true
model_id,Account,AI_Model_Id__c,true
prompt_version,Account,AI_Prompt_Version__c,true
source_refs,Account,AI_Source_Refs__c,true
citation_count,Account,AI_Citation_Count__c,true
