journey,surface,source_payload,component_or_service,default_summary,drillthrough,action_type,artifact_created,approval_gate,crm_safe_key,guardrail
seller_true_group_scale,account_record_page,m1_account_hierarchy_operational_profile,pulse360GroupRevenueReveal,"group revenue, visible revenue, known and covered subsidiaries","hierarchy payload detail in group/trust surfaces",open_entity,AccountNavigation,false,target_record_id,"Navigate only when target_record_id is a valid Salesforce Account Id."
seller_true_group_scale,account_record_page,m1_account_hierarchy_operational_profile,pulse360SellerWorkspaceGroup,"commercial group coverage and entity cards","entity detail and supporting signal",create_task,Task,false,record_id,"Task remains anchored to current Account when uncovered entity has no CRM record."
seller_next_move,account_record_page,m1_account_hierarchy_action_pack,pulse360RecommendedMovePanel,"recommended play, why-now, confidence, impact","source refs and group context",open_opportunity,Opportunity,true,record_id,"Opportunity creation requires explicit approval."
seller_next_move,account_record_page,m1_account_hierarchy_action_pack,pulse360RecommendedMovePanel,"recommended play, specialist route, target entity","source refs and group context",route_specialist,Task,false,record_id,"Specialist route creates a Task with evidence context."
planner_coverage_gap,portfolio_dashboard,m1_account_hierarchy_operational_profile,pulse360PlannerWorkspace,"ranked groups, coverage gaps, planning action queue","account workspace and timeline context",create_task,Task,false,accountId,"Planner actions must preserve CRM Account context."
signal_routing,sdr_workspace,m1_account_hierarchy_action_pack,pulse360SignalRoutingWorkspace,"threshold reason, owner route, target account","signal detail and account workspace",route_specialist,Task,false,recordId,"Routing must not use synthetic Data Cloud group IDs as mutation keys."
renewal_risk,renewal_workspace,m1_account_hierarchy_action_pack,pulse360RenewalRiskWorkspace,"risk level, save play, evidence cue","risk driver detail and seller workspace",create_task,Task,false,recordId,"Save-plan follow-up remains Account anchored."
governance_trust,governance_case,m1_account_hierarchy_action_pack,governanceCaseReview,"evidence summary, recommendation, audit state","direct Data Cloud review evidence",record_governance_decision,Governance_Case__c,true,governanceCaseId,"Governance execution fails closed when direct Data Cloud evidence is unavailable."
governance_trust,account_record_page,m1_account_hierarchy_action_pack,pulse360NextBestAction,"governance escalation action","Governance Case record or list",escalate_governance,NoMutation,true,target_record_id,"Escalation opens governance context unless a reviewed mutation is explicitly approved."

