entity_id,source_account_id,duplicate_confidence,hierarchy_parent_id,hierarchy_child_id,validity_score,review_flag,unified_profile_id,identity_confidence,hierarchy_payload,intent_signal_payload,group_revenue_rollup,cross_sell_propensity,health_score,coverage_gap_flag,competitor_risk_signal,primary_brand_name,active_product_count,engagement_intensity_score,open_opportunity_count,last_engagement_timestamp,last_synced_timestamp,external_legal_name,external_registration_number,is_externally_validated,validity_score_external,external_subsidiaries_found,ai_narrative,ai_recommended_actions,ai_narrative_generated_at,enrichment_run_id,regulatory_readiness_score,duplicate_exposure_count,group_known_subsidiary_count,crm_covered_subsidiary_count,group_revenue_visible,external_revenue_confirmed,model_id,prompt_version,source_refs,citation_count,run_id,run_timestamp,model_version
acc_001dl0000240t62qaa,001dL0000240t62QAA,93.0,,acc_001dl0000240t62qaa,90.0,false,ucp_001dL0000240t62QAA,93.0,"{""group_id"":""acc_001dl0000240t62qaa"",""canonical_account_id"":""acc_001dl0000240t62qaa"",""account_name"":""Edge Communications"",""children"":[{""entity_id"":""acc_001dl0000240t62qaa"",""crm_record_id"":""001dL0000240t62QAA"",""name"":""Edge Communications"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":54.550000000000004,""signal_label"":""Queue for review"",""threshold_label"":""Engagement is strong enough to justify proactive routed follow-up."",""route_to"":""account_owner"",""routing_confidence"":0.9283333333333335,""why_now"":""Edge Communications has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged Edge Communications because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement context suggests the account can absorb routed follow-up now."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-27 11:53:30.793827""}",1.39E8,55.0,74.0,false,58.0,Unassigned Brand,0,61.0,1,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Edge Communications,,false,88.0,0,Model-generated public-evidence summary is not configured for Edge Communications.,[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,1.39E8,1.39E8,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
acc_001dl0000240t63qaa,001dL0000240t63QAA,93.0,,acc_001dl0000240t63qaa,90.0,false,ucp_001dL0000240t63QAA,93.0,"{""group_id"":""acc_001dl0000240t63qaa"",""canonical_account_id"":""acc_001dl0000240t63qaa"",""account_name"":""Burlington Textiles Corp of America"",""children"":[{""entity_id"":""acc_001dl0000240t63qaa"",""crm_record_id"":""001dL0000240t63QAA"",""name"":""Burlington Textiles Corp of America"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":51.550000000000004,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner_plus_coverage"",""routing_confidence"":0.855,""why_now"":""Burlington Textiles Corp of America combines whitespace potential with a group coverage gap, so the routed follow-up should confirm who actually owns the next motion."",""drafted_outreach"":""Pulse360 flagged Burlington Textiles Corp of America because coverage is incomplete across the commercial group and the next owner needs to be confirmed. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is incomplete across the group, so route clarity needs review.""],""generated_at"":""2026-04-27 11:53:30.793827""}",3.5E8,43.0,61.0,true,58.0,Unassigned Brand,0,33.0,0,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Burlington Textiles Corp of America,,false,88.0,0,Model-generated public-evidence summary is not configured for Burlington Textiles Corp of America.,[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,3.5E8,3.5E8,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
acc_001dl0000240t64qaa,001dL0000240t64QAA,93.0,,acc_001dl0000240t64qaa,90.0,false,ucp_001dL0000240t64QAA,93.0,"{""group_id"":""acc_001dl0000240t64qaa"",""canonical_account_id"":""acc_001dl0000240t64qaa"",""account_name"":""Pyramid Construction Inc."",""children"":[{""entity_id"":""acc_001dl0000240t64qaa"",""crm_record_id"":""001dL0000240t64QAA"",""name"":""Pyramid Construction Inc."",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":40.650000000000006,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner"",""routing_confidence"":0.785,""why_now"":""Pyramid Construction Inc. has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged Pyramid Construction Inc. because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-27 11:53:30.793827""}",9.5E8,45.0,54.0,false,58.0,Unassigned Brand,0,33.0,1,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Pyramid Construction Inc.,,false,88.0,0,Model-generated public-evidence summary is not configured for Pyramid Construction Inc..,[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,9.5E8,9.5E8,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
acc_001dl0000240t65qaa,001dL0000240t65QAA,93.0,,acc_001dl0000240t65qaa,90.0,false,ucp_001dL0000240t65QAA,93.0,"{""group_id"":""acc_001dl0000240t65qaa"",""canonical_account_id"":""acc_001dl0000240t65qaa"",""account_name"":""Dickenson plc"",""children"":[{""entity_id"":""acc_001dl0000240t65qaa"",""crm_record_id"":""001dL0000240t65QAA"",""name"":""Dickenson plc"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":40.650000000000006,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner"",""routing_confidence"":0.785,""why_now"":""Dickenson plc has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged Dickenson plc because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-27 11:53:30.793827""}",5.0E7,45.0,54.0,false,58.0,Unassigned Brand,0,33.0,1,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Dickenson plc,,false,88.0,0,Model-generated public-evidence summary is not configured for Dickenson plc.,[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,5.0E7,5.0E7,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
acc_001dl0000240t66qaa,001dL0000240t66QAA,93.0,,acc_001dl0000240t66qaa,90.0,false,ucp_001dL0000240t66QAA,93.0,"{""group_id"":""acc_001dl0000240t66qaa"",""canonical_account_id"":""acc_001dl0000240t66qaa"",""account_name"":""Grand Hotels & Resorts Ltd"",""children"":[{""entity_id"":""acc_001dl0000240t66qaa"",""crm_record_id"":""001dL0000240t66QAA"",""name"":""Grand Hotels & Resorts Ltd"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":61.150000000000006,""signal_label"":""Queue for review"",""threshold_label"":""Engagement is strong enough to justify proactive routed follow-up."",""route_to"":""account_owner"",""routing_confidence"":0.95,""why_now"":""Grand Hotels & Resorts Ltd has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged Grand Hotels & Resorts Ltd because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement context suggests the account can absorb routed follow-up now."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-27 11:53:30.793827""}",5.0E8,67.0,82.0,false,58.0,Unassigned Brand,0,61.0,2,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Grand Hotels & Resorts Ltd,,false,88.0,0,Model-generated public-evidence summary is not configured for Grand Hotels & Resorts Ltd.,[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,5.0E8,5.0E8,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
acc_001dl0000240t67qaa,001dL0000240t67QAA,93.0,,acc_001dl0000240t67qaa,90.0,false,ucp_001dL0000240t67QAA,93.0,"{""group_id"":""acc_001dl0000240t67qaa"",""canonical_account_id"":""acc_001dl0000240t67qaa"",""account_name"":""United Oil & Gas Corp."",""children"":[{""entity_id"":""acc_001dl0000240t67qaa"",""crm_record_id"":""001dL0000240t67QAA"",""name"":""United Oil & Gas Corp."",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":72.55,""signal_label"":""Queue for review"",""threshold_label"":""Engagement is strong enough to justify proactive routed follow-up."",""route_to"":""account_owner"",""routing_confidence"":0.95,""why_now"":""United Oil & Gas Corp. has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged United Oil & Gas Corp. because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement context suggests the account can absorb routed follow-up now."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-27 11:53:30.793827""}",5.6E9,79.0,100.0,false,58.0,Unassigned Brand,0,77.0,4,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,United Oil & Gas Corp.,,false,88.0,0,Model-generated public-evidence summary is not configured for United Oil & Gas Corp..,[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,5.6E9,5.6E9,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
acc_001dl0000240t68qaa,001dL0000240t68QAA,93.0,,acc_001dl0000240t68qaa,90.0,false,ucp_001dL0000240t68QAA,93.0,"{""group_id"":""acc_001dl0000240t68qaa"",""canonical_account_id"":""acc_001dl0000240t68qaa"",""account_name"":""Express Logistics and Transport"",""children"":[{""entity_id"":""acc_001dl0000240t68qaa"",""crm_record_id"":""001dL0000240t68QAA"",""name"":""Express Logistics and Transport"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":61.150000000000006,""signal_label"":""Queue for review"",""threshold_label"":""Engagement is strong enough to justify proactive routed follow-up."",""route_to"":""account_owner"",""routing_confidence"":0.95,""why_now"":""Express Logistics and Transport has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged Express Logistics and Transport because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement context suggests the account can absorb routed follow-up now."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-27 11:53:30.793827""}",9.5E8,67.0,72.0,false,58.0,Unassigned Brand,0,61.0,2,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Express Logistics and Transport,,false,88.0,0,Model-generated public-evidence summary is not configured for Express Logistics and Transport.,[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,9.5E8,9.5E8,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
acc_001dl0000240t69qaa,001dL0000240t69QAA,93.0,,acc_001dl0000240t69qaa,90.0,false,ucp_001dL0000240t69QAA,93.0,"{""group_id"":""acc_001dl0000240t69qaa"",""canonical_account_id"":""acc_001dl0000240t69qaa"",""account_name"":""University of Arizona"",""children"":[{""entity_id"":""acc_001dl0000240t69qaa"",""crm_record_id"":""001dL0000240t69QAA"",""name"":""University of Arizona"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":52.150000000000006,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner"",""routing_confidence"":0.9016666666666667,""why_now"":""University of Arizona has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged University of Arizona because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-27 11:53:30.793827""}",0.0,55.0,63.0,false,58.0,Unassigned Brand,0,53.0,1,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,University of Arizona,,false,88.0,0,Model-generated public-evidence summary is not configured for University of Arizona.,[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,60.0,0,1,1,0.0,0.0,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
acc_001dl0000240t6aqaq,001dL0000240t6AQAQ,93.0,,acc_001dl0000240t6aqaq,90.0,false,ucp_001dL0000240t6AQAQ,93.0,"{""group_id"":""acc_001dl0000240t6aqaq"",""canonical_account_id"":""acc_001dl0000240t6aqaq"",""account_name"":""United Oil & Gas, UK"",""children"":[{""entity_id"":""acc_001dl0000240t6aqaq"",""crm_record_id"":""001dL0000240t6AQAQ"",""name"":""United Oil & Gas, UK"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":32.650000000000006,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner_plus_coverage"",""routing_confidence"":0.7316666666666666,""why_now"":""United Oil & Gas, UK combines whitespace potential with a group coverage gap, so the routed follow-up should confirm who actually owns the next motion."",""drafted_outreach"":""Pulse360 flagged United Oil & Gas, UK because coverage is incomplete across the commercial group and the next owner needs to be confirmed. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is incomplete across the group, so route clarity needs review.""],""generated_at"":""2026-04-27 11:53:30.793827""}",0.0,25.0,40.0,true,18.0,Unassigned Brand,0,23.0,0,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,"United Oil & Gas, UK",,false,88.0,0,"Model-generated public-evidence summary is not configured for United Oil & Gas, UK.",[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,60.0,0,1,1,0.0,0.0,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
acc_001dl0000240t6bqaq,001dL0000240t6BQAQ,93.0,,acc_001dl0000240t6bqaq,90.0,false,ucp_001dL0000240t6BQAQ,93.0,"{""group_id"":""acc_001dl0000240t6bqaq"",""canonical_account_id"":""acc_001dl0000240t6bqaq"",""account_name"":""United Oil & Gas, Singapore"",""children"":[{""entity_id"":""acc_001dl0000240t6bqaq"",""crm_record_id"":""001dL0000240t6BQAQ"",""name"":""United Oil & Gas, Singapore"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":35.05,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner_plus_coverage"",""routing_confidence"":0.7583333333333332,""why_now"":""United Oil & Gas, Singapore combines whitespace potential with a group coverage gap, so the routed follow-up should confirm who actually owns the next motion."",""drafted_outreach"":""Pulse360 flagged United Oil & Gas, Singapore because coverage is incomplete across the commercial group and the next owner needs to be confirmed. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is incomplete across the group, so route clarity needs review.""],""generated_at"":""2026-04-27 11:53:30.793827""}",0.0,25.0,45.0,true,18.0,Unassigned Brand,0,31.0,0,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,"United Oil & Gas, Singapore",,false,88.0,0,"Model-generated public-evidence summary is not configured for United Oil & Gas, Singapore.",[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,60.0,0,1,1,0.0,0.0,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
acc_001dl0000240t6cqaq,001dL0000240t6CQAQ,93.0,,acc_001dl0000240t6cqaq,90.0,false,ucp_001dL0000240t6CQAQ,93.0,"{""group_id"":""acc_001dl0000240t6cqaq"",""canonical_account_id"":""acc_001dl0000240t6cqaq"",""account_name"":""GenePoint"",""children"":[{""entity_id"":""acc_001dl0000240t6cqaq"",""crm_record_id"":""001dL0000240t6CQAQ"",""name"":""GenePoint"",""role"":""Current account"",""coverage_status"":""covered"",""in_crm"":true}]}","{""routing_version"":""pulse360-intent-routing-v1"",""signal_score"":52.150000000000006,""signal_label"":""Monitor"",""threshold_label"":""The account is still building toward a routed signal and should remain visible in the queue."",""route_to"":""account_owner"",""routing_confidence"":0.9016666666666667,""why_now"":""GenePoint has enough engagement and commercial context to justify a routed review rather than waiting for another manual account pass."",""drafted_outreach"":""Pulse360 flagged GenePoint because engagement and account context justify a targeted follow-up. Lead with Unassigned Brand and validate the next sponsor path."",""channel_readiness"":""salesforce_preview"",""top_drivers"":[""Commercial room exists but still needs qualification."",""Engagement is limited, so the first touch should validate timing."",""Coverage is stable enough for a directed follow-up.""],""generated_at"":""2026-04-27 11:53:30.793827""}",3.0E7,55.0,59.0,false,58.0,Unassigned Brand,0,53.0,1,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,GenePoint,,false,88.0,0,Model-generated public-evidence summary is not configured for GenePoint.,[],2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,3.0E7,3.0E7,gpt-5.4,pulse360-default-v1,[],0,run_20260427_115330,2026-04-27T11:53:30.793Z,dc-canonical-v3.genai-runtime-gated
