source_object_name,dmo_api_name,source_field,dmo_field_api_name,data_type,required,key_qualifier,relationship_key,notes
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,activation_id,activation_id__c,Text,true,Primary Key,false,Stable activation-row key: m1act_<source_account_id_lower>.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,source_account_id,source_account_id__c,Text,true,KQ_source_account_id,true,CRM Account join key to Account.Id.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,account_name,account_name__c,Text,false,,false,Display name copied from Salesforce Account.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,account_group_id,account_group_id__c,Text,true,,false,Deterministic M1 account group key.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,group_anchor_source_account_id,group_anchor_source_account_id__c,Text,true,,false,Account Id for the group anchor or standalone account.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,group_anchor_name,group_anchor_name__c,Text,false,,false,Display name for the group anchor.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,ultimate_parent_name,ultimate_parent_name__c,Text,false,,false,Best available ultimate parent display name.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,member_account_count,member_account_count__c,Number,false,,false,Current count of account members in the group.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,known_child_account_count,known_child_account_count__c,Number,false,,false,Count of source-backed child accounts under the group anchor.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,group_revenue_local,group_revenue_local__c,Number,false,,false,Group revenue in source/local currency where available.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,group_revenue_usd,group_revenue_usd__c,Number,false,,false,Group revenue in USD where source-backed.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,revenue_coverage_ratio,revenue_coverage_ratio__c,Number,false,,false,Ratio of group members with revenue evidence.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,hierarchy_completeness_score,hierarchy_completeness_score__c,Number,false,,false,M1 hierarchy completeness score from 0 to 1.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,coverage_gap_count,coverage_gap_count__c,Number,false,,false,Count of group members missing revenue evidence.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,coverage_gap_flag,coverage_gap_flag__c,Boolean,false,,false,True when the current group has known evidence gaps.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,coverage_gap_summary,coverage_gap_summary__c,Text,false,,false,Short human-readable coverage gap summary.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,confidence,confidence__c,Number,false,,false,Confidence score from 0 to 1.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,evidence_refs_json,evidence_refs_json__c,Text,false,,false,JSON array of supporting source references.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,hierarchy_payload,hierarchy_payload__c,Text,false,,false,Compact JSON payload for Account writeback review.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,run_id,run_id__c,Text,false,,false,Databricks enrichment run identifier.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,model_version,model_version__c,Text,false,,false,Databricks model or transformation version.
m1_account_hierarchy_activation_export,Pulse360_M1_Hierarchy_Activation__dlm,generated_at,generated_at__c,DateTime,false,,false,Timestamp when the M1 row was generated.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,account_group_id,account_group_id__c,Text,true,Primary Key,false,Deterministic M1 account group key.
m1_account_group_rollup_export,Pulse360_M1_Account_Group_Rollup__dlm,group_anchor_source_account_id,group_anchor_source_account_id__c,Text,true,KQ_group_anchor_source_account_id,true,Account Id for the group anchor relationship to Account.Id.
