source_field,databricks_projection,data_cloud_category,data_cloud_object,target_object,target_field,required,crm_writeback_ready,notes
source_account_id,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,Id,true,false,Relationship key only; map to Account.Id / ssot__Id__c and do not overwrite CRM Id.
account_name,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,Name,false,false,Label for operator review only; Account.Name remains CRM-owned.
intent_signal_payload,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,Intent_Signal_Payload__c,true,true,JSON payload rendered by the signal routing workspace.
coverage_gap_flag,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,Coverage_Gap_Flag__c,true,true,Boolean signal flag for the proactive coverage-gap play.
ai_narrative,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,AI_Narrative__c,true,true,Source-backed explanation; read-only to sellers.
ai_recommended_actions,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,AI_Recommended_Actions__c,true,true,Governed recommended actions; high-impact actions remain approval-gated.
source_refs,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,AI_Source_Refs__c,true,true,Source event references/citations for explainability.
citation_count,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,AI_Citation_Count__c,true,true,Number of cited source-change records supporting the signal.
last_synced_timestamp,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,DataCloud_Last_Synced__c,true,true,Freshness marker for CRM writeback validation and UAT.
run_id,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,Enrichment_Run_Id__c,true,true,Databricks run identifier for traceability.
model_version,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,AI_Model_Id__c,true,true,Model or signal pack version used to generate the proactive signal.
hierarchy_payload,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Profile,Proactive_Account_Signal__dlm,Account,Hierarchy_Payload__c,false,true,Optional group-context payload if the Data Cloud mapper exposes the column.
agentforce_execution_policy,pulse360_s4.gold_proactive_signal.datacloud_proactive_signal_projection,Other,Proactive_Account_Signal__dlm,Action Surface,,true,false,Policy evidence for the custom Salesforce LWC/Apex assistant and action panels; do not write directly to CRM fields.
