field_label,field_api_name,data_type,source_field,required,phase,notes
Hierarchy Payload,Hierarchy_Payload__c,Text,hierarchy_payload,false,org_locked,"Excluded from runtime-required Data Cloud validation; current org does not expose this serialized payload on Account DMO."
Intent Signal Payload,Intent_Signal_Payload__c,Text,intent_signal_payload,false,ux_realign,"Use Text for serialized routed alert JSON until Slack and cross-channel delivery are live."
External Legal Name,External_Legal_Name__c,Text,external_legal_name,true,public_regional,"Publicly confirmed legal name."
External Registration Number,External_Registration_Number__c,Text,external_registration_number,false,public_regional,"Registry or filing identifier when available."
Externally Validated,Externally_Validated__c,Boolean,is_externally_validated,true,public_regional,"True when public evidence confirms the entity."
Validity Score External,Validity_Score_External__c,Number,validity_score_external,true,public_regional,"0-100 external trust score."
External Subsidiaries Found,External_Subsidiaries_Found__c,Number,external_subsidiaries_found,true,public_regional,"Count of externally discovered subsidiaries not fully represented in CRM."
AI Narrative,AI_Narrative__c,Text,ai_narrative,false,org_locked,"Excluded from runtime-required Data Cloud validation; current org does not expose this narrative text on Account DMO."
AI Recommended Actions,AI_Recommended_Actions__c,Text,ai_recommended_actions,false,org_locked,"Excluded from runtime-required Data Cloud validation; current org does not expose this serialized actions payload on Account DMO."
AI Narrative Generated,AI_Narrative_Generated__c,DateTime,ai_narrative_generated_at,true,public_regional,"Narrative freshness timestamp."
Enrichment Run Id,Enrichment_Run_ID__c,Text,enrichment_run_id,true,public_regional,"Databricks enrichment run identifier."
Regulatory Readiness Score,Regulatory_Readiness_Score__c,Number,regulatory_readiness_score,true,public_regional,"0-100 typed readiness score."
Duplicate Exposure Count,Duplicate_Exposure_Count__c,Number,duplicate_exposure_count,true,public_regional,"Open duplicate exposure count."
Group Known Subsidiary Count,Group_Known_Subsidiary_Count__c,Number,group_known_subsidiary_count,true,public_regional,"Known public group entities in scope."
CRM Covered Subsidiary Count,CRM_Covered_Subsidiary_Count__c,Number,crm_covered_subsidiary_count,true,public_regional,"Group entities already represented in CRM."
Group Revenue Visible,Group_Revenue_Visible__c,Number,group_revenue_visible,false,org_locked,"Excluded from runtime-required Data Cloud validation after org rejected this mapping."
External Revenue Confirmed,External_Revenue_Confirmed__c,Number,external_revenue_confirmed,false,org_locked,"Excluded from runtime-required Data Cloud validation after org rejected this mapping."
AI Model ID,AI_Model_ID__c,Text,model_id,true,public_regional,"Model identifier for generated output."
AI Prompt Version,AI_Prompt_Version__c,Text,prompt_version,true,public_regional,"Prompt template version."
AI Source References,AI_Source_Refs__c,Text,source_refs,false,org_locked,"Excluded from runtime-required Data Cloud validation; current org does not expose this serialized provenance payload on Account DMO."
AI Citation Count,AI_Citation_Count__c,Number,citation_count,true,public_regional,"Count of provenance references."
