domain,logical_entity,data_cloud_target,field_name,field_api_name,cardinality,required,notes
identity,Account core,ssot__Account__dlm,Account ID,ssot__Id__c,one_per_account,true,Primary Account DMO key
identity,Account core,ssot__Account__dlm,Source Account ID,source_account_id,one_per_account,true,CRM-safe Account activation key
identity,Party core,ssot__Party__dlm,Party ID,ssot__Id__c,one_per_party,true,Party abstraction for Account identity
identity,Party core,ssot__Party__dlm,Organization ID,ssot__OrganizationId__c,one_per_party,false,Use where FSC/Data Cloud organization mapping is enabled
identifier,Sovereign identifier,ssot__PartyIdentification__dlm,Party Identification ID,ssot__Id__c,many_per_party,true,Stable identifier-row key
identifier,Sovereign identifier,ssot__PartyIdentification__dlm,Party,ssot__PartyId__c,many_per_party,true,Links identifier to Party
identifier,Sovereign identifier,ssot__PartyIdentification__dlm,Party Identification Type,ssot__PartyIdentificationTypeId__c,many_per_party,true,Identifier taxonomy such as PH_SEC_REGISTRATION_NUMBER or SG_UEN
identifier,Sovereign identifier,ssot__PartyIdentification__dlm,Identification Name,ssot__Name__c,many_per_party,true,Human-readable identifier label
identifier,Sovereign identifier,ssot__PartyIdentification__dlm,Identification Number,ssot__Identificationnumber__c,many_per_party,true,Normalized identifier value used for exact matching
identifier,Sovereign identifier,ssot__PartyIdentification__dlm,Issued By Authority,ssot__IssuedByAuthority__c,many_per_party,false,Registry or tax authority
identifier,Sovereign identifier,ssot__PartyIdentification__dlm,Issued At Location,ssot__IssuedAtLocation__c,many_per_party,false,Jurisdiction or country
identifier,Sovereign identifier,ssot__PartyIdentification__dlm,Verified Date,ssot__VerifiedDate__c,many_per_party,false,Verification timestamp
identifier,Identifier evidence,Pulse360_Identifier_Evidence__dlm,Verification Status,verification_status,many_per_identifier,true,verified probable conflicting unverified
identifier,Identifier evidence,Pulse360_Identifier_Evidence__dlm,Confidence,confidence,many_per_identifier,true,0-1 confidence score
identifier,Identifier evidence,Pulse360_Identifier_Evidence__dlm,Source URL,source_url,many_per_identifier,true,Official registry provider filing or cited source
identifier,Identifier evidence,Pulse360_Identifier_Evidence__dlm,Evidence Excerpt,evidence_excerpt,many_per_identifier,false,Short excerpt used by GPT or provider mapping
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Legal Name,legal_name,one_current_per_party,true,Registry or best-supported legal name
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Trade Name,trade_name,one_current_per_party,false,Common or trading name
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Registration Status,registration_status,one_current_per_party,false,Active dissolved revoked etc.
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Legal Form,legal_form,one_current_per_party,false,Corporation partnership limited liability etc.
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Incorporation Date,incorporation_date,one_current_per_party,false,Date of incorporation where available
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Registered Address,registered_address_json,one_current_per_party,false,Structured address JSON or mapped address component fields
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Operational Address,operational_address_json,one_current_per_party,false,Physical/operating address if different
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Annual Revenue Local,annual_revenue_local,one_current_per_party,false,Revenue in source currency
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Annual Revenue USD,annual_revenue_usd,one_current_per_party,false,Converted or provider-reported USD revenue
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Revenue Indicator,revenue_indicator,one_current_per_party,false,Actual estimated low-end-of-range unknown
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Employees Total,employees_total,one_current_per_party,false,Total employees
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Employees Total Indicator,employees_total_indicator,one_current_per_party,false,Actual estimated low-end-of-range unknown
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Employee Range,employee_range,one_current_per_party,false,Range bucket when exact count is unavailable
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Import Export Code,import_export_code,one_current_per_party,false,Provider-style trade indicator
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Location Type,location_type,one_current_per_party,false,Single location HQ parent branch
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Subsidiary Flag,subsidiary_flag,one_current_per_party,false,Whether company is a subsidiary
firmographics,Firmographic profile,Pulse360_Firmographic_Profile__dlm,Group Company Count,group_company_count,one_current_per_party,false,Number of companies in group
classification,Company classification,Pulse360_Company_Classification__dlm,Classification Scheme,scheme,many_per_party,true,SIC NAICS NACE LOCAL OTHER
classification,Company classification,Pulse360_Company_Classification__dlm,Classification Code,code,many_per_party,true,Industry code
