profile_field,source_dataset,source_field,target_layer,target_object,target_field,data_type,required,crm_activation,crm_target_field,exposure,notes
operational_profile_id,generated,group_entity_id,data_cloud,pulse360_m1_account_hierarchy_operational_profile,operational_profile_id,Text,true,false,,internal_key,"Stable Data Cloud row key generated from group entity and anchor account."
group_entity_id,pulse360_s4.identity_resolution.entity_hierarchy_rollup,group_entity_id,data_cloud,pulse360_m1_account_hierarchy_operational_profile,group_entity_id,Text,true,false,,drill_through,"Synthetic Databricks/Data Cloud group key; never use as CRM writeback key."
primary_anchor_account_id,pulse360_s4.identity_resolution.entity_hierarchy_edge,parent_account_id,data_cloud,ssot__Account__dlm,ssot__Id__c,Text,true,false,,match_key,"CRM-safe Account.Id used for Data Cloud account linkage and CRM activation matching."
crm_anchor_account_ids,pulse360_s4.identity_resolution.entity_hierarchy_edge,parent_account_id,data_cloud,pulse360_m1_account_hierarchy_operational_profile,crm_anchor_account_ids,Text,true,false,,drill_through,"Serialized CRM account IDs covered by this group."
unified_profile_id,generated,group_entity_id,data_cloud_and_crm,ssot__Account__dlm,Unified_Profile_Id__c,Text,true,true,Unified_Profile_Id__c,summary,"Generate as pulse360_m1_group:{group_entity_id} for Data Cloud profile stability."
identity_confidence,pulse360_s4.identity_resolution.resolved_entity,identity_confidence,data_cloud_and_crm,ssot__Account__dlm,Identity_Confidence__c,Number,true,true,Identity_Confidence__c,summary,"Use resolved entity identity confidence for the anchor account/group."
hierarchy_confidence,pulse360_s4.identity_resolution.entity_hierarchy_rollup,hierarchy_confidence,data_cloud,pulse360_m1_account_hierarchy_operational_profile,hierarchy_confidence,Number,true,false,,summary,"Show in Data Cloud/Salesforce UX as evidence, but do not default-copy to Account until a target field is confirmed."
validity_score_external,pulse360_s4.identity_resolution.entity_hierarchy_rollup,hierarchy_confidence,data_cloud_and_crm,ssot__Account__dlm,Validity_Score_External__c,Number,true,true,Validity_Score_External__c,summary,"First M1 slice uses hierarchy confidence as the external validity basis, adjusted for freshness when implemented."
group_revenue_rollup,pulse360_s4.identity_resolution.entity_hierarchy_rollup,group_revenue_visible,data_cloud_and_crm,ssot__Account__dlm,Group_Revenue_Rollup__c,Number,true,true,Group_Revenue_Rollup__c,summary,"Use visible CRM-covered revenue until an approved external revenue source is wired."
group_revenue_visible,pulse360_s4.identity_resolution.entity_hierarchy_rollup,group_revenue_visible,data_cloud_and_crm,ssot__Account__dlm,Group_Revenue_Visible__c,Number,true,true,Group_Revenue_Visible__c,summary,"Preserve the revenue basis used by the rollup."
group_known_subsidiary_count,pulse360_s4.identity_resolution.entity_hierarchy_rollup,known_subsidiary_count,data_cloud_and_crm,ssot__Account__dlm,Group_Known_Subsidiary_Count__c,Number,true,true,Group_Known_Subsidiary_Count__c,summary,"Total known entities in the group."
crm_covered_subsidiary_count,pulse360_s4.identity_resolution.entity_hierarchy_rollup,crm_covered_subsidiary_count,data_cloud_and_crm,ssot__Account__dlm,CRM_Covered_Subsidiary_Count__c,Number,true,true,CRM_Covered_Subsidiary_Count__c,summary,"Entities already represented in CRM."
external_subsidiaries_found,pulse360_s4.identity_resolution.entity_hierarchy_rollup,uncovered_subsidiary_count,data_cloud_and_crm,ssot__Account__dlm,External_Subsidiaries_Found__c,Number,true,true,External_Subsidiaries_Found__c,summary,"Reuse existing activation field as uncovered subsidiary count for M1."
coverage_gap_flag,pulse360_s4.identity_resolution.entity_hierarchy_rollup,coverage_gap_flag,data_cloud_and_crm,ssot__Account__dlm,Coverage_Gap_Flag__c,Boolean,true,true,Coverage_Gap_Flag__c,summary,"Primary planning flag for coverage gaps."
hierarchy_payload,pulse360_s4.identity_resolution.entity_hierarchy_rollup,hierarchy_payload,data_cloud,ssot__Account__dlm,Hierarchy_Payload__c,Text,true,false,,drill_through,"Keep as Data Cloud/Databricks detail by default; optional Salesforce payload only when UX explicitly needs it."
source_refs,pulse360_s4.identity_resolution.entity_hierarchy_rollup,source_contributions,data_cloud_and_crm,ssot__Account__dlm,AI_Source_Refs__c,Text,true,true,AI_Source_Refs__c,evidence,"Serialize compact citation/source IDs, not full contribution rows."
freshness_status,pulse360_s4.identity_resolution.entity_hierarchy_rollup,freshness_status,data_cloud,pulse360_m1_account_hierarchy_operational_profile,freshness_status,Text,true,false,,summary,"Use in UX freshness cue and validity score calculation."
last_synced_timestamp,pulse360_s4.identity_resolution.entity_hierarchy_rollup,run_timestamp,data_cloud_and_crm,ssot__Account__dlm,Last_Synced_Timestamp__c,DateTime,true,true,DataCloud_Last_Synced__c,summary,"Activation freshness timestamp."
enrichment_run_id,pulse360_s4.identity_resolution.entity_hierarchy_rollup,run_id,data_cloud_and_crm,ssot__Account__dlm,Enrichment_Run_ID__c,Text,true,true,Enrichment_Run_Id__c,evidence,"Databricks hierarchy rollup run identifier."
model_id,pulse360_s4.identity_resolution.entity_hierarchy_rollup,model_version,data_cloud_and_crm,ssot__Account__dlm,AI_Model_ID__c,Text,true,true,AI_Model_Id__c,evidence,"Use hierarchy rollup model version as the summary model ID."
run_id,profile_transform,run_id,data_cloud,pulse360_m1_account_hierarchy_operational_profile,run_id,Text,true,false,,internal_key,"Operational profile transform run ID."
run_timestamp,profile_transform,run_timestamp,data_cloud,pulse360_m1_account_hierarchy_operational_profile,run_timestamp,DateTime,true,false,,internal_key,"Operational profile transform run timestamp."
model_version,profile_transform,model_version,data_cloud,pulse360_m1_account_hierarchy_operational_profile,model_version,Text,true,false,,internal_key,"Operational profile contract version."

