Id,Unified_Profile_Id__c,Identity_Confidence__c,Health_Score__c,Cross_Sell_Propensity__c,Coverage_Gap_Flag__c,Competitor_Risk_Signal__c,Primary_Brand_Name__c,Active_Product_Count__c,Engagement_Intensity_Score__c,Open_Opportunity_Count__c,Last_Engagement_Timestamp__c,DataCloud_Last_Synced__c,External_Legal_Name__c,External_Registration_Number__c,Externally_Validated__c,Validity_Score_External__c,External_Subsidiaries_Found__c,AI_Narrative_Generated__c,Enrichment_Run_Id__c,Regulatory_Readiness_Score__c,Duplicate_Exposure_Count__c,Group_Known_Subsidiary_Count__c,CRM_Covered_Subsidiary_Count__c,Group_Revenue_Visible__c,External_Revenue_Confirmed__c,AI_Model_Id__c,AI_Prompt_Version__c,AI_Citation_Count__c
001dL0000240t62QAA,ucp_001dL0000240t62QAA,93.0,74.0,55.0,false,58.0,Unassigned Brand,0,61.0,1,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Edge Communications,,false,88.0,0,2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,1.39E8,1.39E8,gpt-5.4,pulse360-default-v1,0
001dL0000240t63QAA,ucp_001dL0000240t63QAA,93.0,61.0,43.0,true,58.0,Unassigned Brand,0,33.0,0,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Burlington Textiles Corp of America,,false,88.0,0,2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,3.5E8,3.5E8,gpt-5.4,pulse360-default-v1,0
001dL0000240t64QAA,ucp_001dL0000240t64QAA,93.0,54.0,45.0,false,58.0,Unassigned Brand,0,33.0,1,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Pyramid Construction Inc.,,false,88.0,0,2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,9.5E8,9.5E8,gpt-5.4,pulse360-default-v1,0
001dL0000240t65QAA,ucp_001dL0000240t65QAA,93.0,54.0,45.0,false,58.0,Unassigned Brand,0,33.0,1,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Dickenson plc,,false,88.0,0,2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,5.0E7,5.0E7,gpt-5.4,pulse360-default-v1,0
001dL0000240t66QAA,ucp_001dL0000240t66QAA,93.0,82.0,67.0,false,58.0,Unassigned Brand,0,61.0,2,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Grand Hotels & Resorts Ltd,,false,88.0,0,2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,5.0E8,5.0E8,gpt-5.4,pulse360-default-v1,0
001dL0000240t67QAA,ucp_001dL0000240t67QAA,93.0,100.0,79.0,false,58.0,Unassigned Brand,0,77.0,4,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,United Oil & Gas Corp.,,false,88.0,0,2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,5.6E9,5.6E9,gpt-5.4,pulse360-default-v1,0
001dL0000240t68QAA,ucp_001dL0000240t68QAA,93.0,72.0,67.0,false,58.0,Unassigned Brand,0,61.0,2,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,Express Logistics and Transport,,false,88.0,0,2026-04-27T11:53:30.793Z,run_default_20260427_115330,70.0,0,1,1,9.5E8,9.5E8,gpt-5.4,pulse360-default-v1,0
001dL0000240t69QAA,ucp_001dL0000240t69QAA,93.0,63.0,55.0,false,58.0,Unassigned Brand,0,53.0,1,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,University of Arizona,,false,88.0,0,2026-04-27T11:53:30.793Z,run_default_20260427_115330,60.0,0,1,1,0.0,0.0,gpt-5.4,pulse360-default-v1,0
001dL0000240t6AQAQ,ucp_001dL0000240t6AQAQ,93.0,40.0,25.0,true,18.0,Unassigned Brand,0,23.0,0,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,"United Oil & Gas, UK",,false,88.0,0,2026-04-27T11:53:30.793Z,run_default_20260427_115330,60.0,0,1,1,0.0,0.0,gpt-5.4,pulse360-default-v1,0
001dL0000240t6BQAQ,ucp_001dL0000240t6BQAQ,93.0,45.0,25.0,true,18.0,Unassigned Brand,0,31.0,0,2026-04-15T11:02:46.000Z,2026-04-27T11:53:30.793Z,"United Oil & Gas, Singapore",,false,88.0,0,2026-04-27T11:53:30.793Z,run_default_20260427_115330,60.0,0,1,1,0.0,0.0,gpt-5.4,pulse360-default-v1,0
